"","NAME","YEAR","POPULATION"
"388","Michigan","2007",10001284
"389","Minnesota","2007",5207203
"390","Mississippi","2007",2928350
"391","Missouri","2007",5887612
"392","Montana","2007",964706
"393","Nebraska","2007",1783440
"394","Nevada","2007",2601072
"395","New Hampshire","2007",1312540
"396","New Jersey","2007",8677885
"397","New Mexico","2007",1990070
"398","New York","2007",19132335
"399","North Carolina","2007",9118037
"400","North Dakota","2007",652822
"401","Ohio","2007",11500468
"402","Oklahoma","2007",3634349
"403","Oregon","2007",3722417
"404","Pennsylvania","2007",12563937
"405","Rhode Island","2007",1057315
"406","South Carolina","2007",4444110
"407","South Dakota","2007",791623
"408","Tennessee","2007",6175727
"409","Texas","2007",23831983
"410","Utah","2007",2597746
"411","Vermont","2007",623481
"412","Virginia","2007",7751000
"413","Washington","2007",6461587
"414","West Virginia","2007",1834052
"415","Wisconsin","2007",5610775
"416","Wyoming","2007",534876
"417","United States","2008",304093966
"418","Alabama","2008",4718206
"419","Alaska","2008",687455
"420","Arizona","2008",6280362
"421","Arkansas","2008",2874554
"422","California","2008",36604337
"423","Colorado","2008",4889730
"424","Connecticut","2008",3545579
"425","Delaware","2008",883874
"426","District of Columbia","2008",580236
"427","Florida","2008",18527305
"428","Georgia","2008",9504843
"429","Hawaii","2008",1332213
"430","Idaho","2008",1534320
"431","Illinois","2008",12747038
"432","Indiana","2008",6424806
"433","Iowa","2008",3016734
"434","Kansas","2008",2808076
"435","Kentucky","2008",4289878
"436","Louisiana","2008",4435586
"437","Maine","2008",1330509
"438","Maryland","2008",5684965
"439","Massachusetts","2008",6468967
"440","Michigan","2008",9946889
"441","Minnesota","2008",5247018
"442","Mississippi","2008",2947806
"443","Missouri","2008",5923916
"444","Montana","2008",976415
"445","Nebraska","2008",1796378
"446","Nevada","2008",2653630
"447","New Hampshire","2008",1315906
"448","New Jersey","2008",8711090
"449","New Mexico","2008",2010662
"450","New York","2008",19212436
"451","North Carolina","2008",9309449
"452","North Dakota","2008",657569
"453","Ohio","2008",11515391
"454","Oklahoma","2008",3668976
"455","Oregon","2008",3768748
"456","Pennsylvania","2008",12612285
"457","Rhode Island","2008",1055003
"458","South Carolina","2008",4528996
"459","South Dakota","2008",799124
"460","Tennessee","2008",6247411
"461","Texas","2008",24309039
"462","Utah","2008",2663029
"463","Vermont","2008",624151
"464","Virginia","2008",7833496
"465","Washington","2008",6562231
"466","West Virginia","2008",1840310
"467","Wisconsin","2008",5640996
"468","Wyoming","2008",546043
"469","United States","2009",306771529
"470","Alabama","2009",4757938
"471","Alaska","2009",698895
"472","Arizona","2009",6343154
"473","Arkansas","2009",2896843
"474","California","2009",36961229
"475","Colorado","2009",4972195
"476","Connecticut","2009",3561807
"477","Delaware","2009",891730
"478","District of Columbia","2009",592228
"479","Florida","2009",18652644
"480","Georgia","2009",9620846
"481","Hawaii","2009",1346717
"482","Idaho","2009",1554439
"483","Illinois","2009",12796778
"484","Indiana","2009",6459325
"485","Iowa","2009",3032870
"486","Kansas","2009",2832704
"487","Kentucky","2009",4317074
"488","Louisiana","2009",4491648
"489","Maine","2009",1329590
"490","Maryland","2009",5730388
"491","Massachusetts","2009",6517613
"492","Michigan","2009",9901591
"493","Minnesota","2009",5281203
"494","Mississippi","2009",2958774
"495","Missouri","2009",5961088
"496","Montana","2009",983982
"497","Nebraska","2009",1812683
"498","Nevada","2009",2684665
"499","New Hampshire","2009",1316102
"500","New Jersey","2009",8755602
"501","New Mexico","2009",2036802
"502","New York","2009",19307066
"503","North Carolina","2009",9449566
"504","North Dakota","2009",664968
"505","Ohio","2009",11528896
"506","Oklahoma","2009",3717572
"507","Oregon","2009",3808600
"508","Pennsylvania","2009",12666858
"509","Rhode Island","2009",1053646
"510","South Carolina","2009",4589872
"511","South Dakota","2009",807067
"512","Tennessee","2009",6306019
"513","Texas","2009",24801761
"514","Utah","2009",2723421
"515","Vermont","2009",624817
"516","Virginia","2009",7925937
"517","Washington","2009",6667426
"518","West Virginia","2009",1847775
"519","Wisconsin","2009",5669264
"520","Wyoming","2009",559851
"521","United States","2010",309349689
"522","Alabama","2010",4785298
"523","Alaska","2010",713985
"524","Arizona","2010",6413737
"525","Arkansas","2010",2921606
"526","California","2010",37349363
"527","Colorado","2010",5049071
"528","Connecticut","2010",3577073
"529","Delaware","2010",899769
"530","District of Columbia","2010",604453
"531","Florida","2010",18843326
"532","Georgia","2010",9712587
"533","Hawaii","2010",1363621
"534","Idaho","2010",1571450
"535","Illinois","2010",12843166
"536","Indiana","2010",6490621
"537","Iowa","2010",3049883
"538","Kansas","2010",2859169
"539","Kentucky","2010",4346266
"540","Louisiana","2010",4544228
"541","Maine","2010",1327567
"542","Maryland","2010",5785982
"543","Massachusetts","2010",6557254
"544","Michigan","2010",9877574
"545","Minnesota","2010",5310584
"546","Mississippi","2010",2970036
"547","Missouri","2010",5996231
"548","Montana","2010",990898
"549","Nebraska","2010",1830429
"550","Nevada","2010",2704642
"551","New Hampshire","2010",1316759
"552","New Jersey","2010",8801624
"553","New Mexico","2010",2065932
"554","New York","2010",19392283
"555","North Carolina","2010",9561558
"556","North Dakota","2010",674499
"557","Ohio","2010",11536182
"558","Oklahoma","2010",3761702
"559","Oregon","2010",3838957
"560","Pennsylvania","2010",12709630
"561","Rhode Island","2010",1052886
"562","South Carolina","2010",4636312
"563","South Dakota","2010",816463
"564","Tennessee","2010",6356897
"565","Texas","2010",25257114
"566","Utah","2010",2776469
"567","Vermont","2010",625960
"568","Virginia","2010",8024617
"569","Washington","2010",6744496
"570","West Virginia","2010",1853973
"571","Wisconsin","2010",5691047
"572","Wyoming","2010",564460
